firm_id,year,treat,post,did,y,x1,x2
S000,2010,0,0,0,0.5304717079754432,-1.0399841062404955,0.7504511958064572
S000,2011,0,0,0,0.6440564716391215,-1.9510351886538364,-1.302179506862318
S000,2012,0,0,0,0.6127840403167285,-0.3162425923435822,-0.016801157504288795
S000,2013,0,0,0,0.564695607242642,0.8793979748628286,0.7777919354289483
S000,2014,0,0,0,0.7066030697561215,1.1272412069680329,0.4675093422520456
S000,2015,0,0,0,0.6640707537116761,0.36875078408249884,-0.9588826008289989
S000,2016,0,0,0,0.8878450301307272,-0.049925910986252896,-0.18486236354526056
S000,2017,0,0,0,0.781907045559606,1.2225413386740303,-0.15452948206880215
S000,2018,0,0,0,0.8571672177836893,-0.3521335504882296,0.5323091855533487
S000,2019,0,0,0,0.9865444064364078,0.4127326115959884,0.43082100300788273
S001,2010,0,0,0,0.7141647600870461,-0.4064150163846156,-0.5122427290715373
S001,2011,0,0,0,0.46862272717521225,0.6159794225754956,1.1289722927208916
S001,2012,0,0,0,0.5886052542345125,-0.840156476962528,-0.8244812156912396
S001,2013,0,0,0,0.7150592787824701,0.7432541712034423,0.543154268305195
S001,2014,0,0,0,0.6334490292711306,0.23216132306671977,0.11668580914072822
S001,2015,0,0,0,0.7718688596729013,0.8714287779481898,0.22359554877468227
S001,2016,0,0,0,0.8678913563071895,0.06757906948889146,0.28911939868998415
S001,2017,0,0,0,0.9131288225838541,-1.4571558198556664,-0.31967121635730134
S001,2018,0,0,0,0.8529627345707205,-0.6388778482433419,-0.27514225122668373
S001,2019,0,0,0,1.0994941311234396,-0.8658311156932432,0.9682783545914808
S002,2010,0,0,0,0.3317130228384195,-0.33488502998577485,0.1627530651050056
S002,2011,0,0,0,0.6086222331359279,0.711226579792855,0.7933472351999252
S002,2012,0,0,0,0.5651274927751562,-0.46235179266456716,0.8579758812571538
S002,2013,0,0,0,0.6308695675118385,-1.2756863233379219,-1.1332872140034806
S002,2014,0,0,0,0.6080547713998388,0.49716074405376404,0.14242573607056525
S002,2015,0,0,0,0.8190485354067768,-0.42725264633653426,0.15853969107671423
S002,2016,0,0,0,0.8625590393967337,-0.3093465397202384,0.45677523755741145
S002,2017,0,0,0,0.783807405893335,-0.3630538465650718,-0.3817378939983291
S002,2018,0,0,0,0.7804160354410961,0.4869724807855818,-0.46940234020272387
